Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-LA-SORTIE-01.jpg,a drawing of a car driving down a road,"a car driving down a road with a sign that says,'i'm '"
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-LA-SORTIE-02.jpg,a drawing of a car driving through a tunnel,a drawing of a car driving through a tunnel
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-03.jpg,a drawing of a man and woman looking at each other people,a drawing of a man and woman looking at each other people
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-04.jpg,a drawing of two men in a car,a sketch of two men in a car
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-05.jpg,a drawing of a car with a bunch of flowers,a drawing of a car with a bunch of flowers
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-06.jpg,a drawing of a car driving down a road,a car driving down a road with a man in the back
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-07.jpg,a drawing of two men sitting in a car,a drawing of two men sitting in a car
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-08.jpg,a drawing of a car driving down a road,a car driving down a road with trees in the background
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-09.jpg,a drawing of a girl looking out the window,a drawing of a girl looking out the window
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-10.jpg,a drawing of two people looking at each other people,a drawing of two people looking at each other people
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-11.jpg,a drawing of a city with buildings and a road,a drawing of a city with buildings and a road
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-12.jpg,a drawing of a door with a window open,a drawing of a door with a window open
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-13.jpg,a drawing of a face with a face in the middle,a drawing of a face with a face in the middle
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-14.jpg,a drawing of a city with buildings and cars,a drawing of a city with buildings and cars
/root/text2storyboard/dataset/film_storyboard/HEURE-DE-LA-SORTIE/HEURE-DE-SORTIE-15.jpg,a drawing of a man with a beard,a drawing of a man with a beard
