Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-01.jpg,a storyboard of a man in a car,a drawing of a man in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-02.jpg,a storyboard of a man with a mustache and mustache,a drawing of a man in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-03.jpg,a storyboard of a man walking in a city,a drawing of a man walking down the street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-04.jpg,a storyboard of a car,a sketch of a car with a man standing next to it
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-05.jpg,a storyboard of a man in a suit and tie,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-06.jpg,a storyboard of a car driving down a street,a drawing of a car parked on a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-07.jpg,a storyboard of a car in a garage,a drawing of a car driving down a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-08.jpg,a storyboard of a man driving a car with a dog,a man is driving a car with a dog
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-09.jpg,a storyboard of a woman screaming,a drawing of a woman with her mouth open
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-10.jpg,a storyboard of a car and a car,a drawing of a car driving down a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-11.jpg,a storyboard of a car driving down a street,a drawing of a car driving down a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-12.jpg,a storyboard of a car crash,a sketch of a car driving down a road
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-13.jpg,a storyboard of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-14.jpg,a storyboard of a man with a mustache,a drawing of a man with a mustache
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-15.jpg,a storyboard of a man in a car,a drawing of a person in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-16.jpg,a storyboard of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-17.jpg,a storyboard of a young boy sitting in a chair,a drawing of a person sitting in a chair
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-18.jpg,a storyboard of a cat and a person,a drawing of a person in a room
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-19.jpg,a storyboard of a man sleeping in a bed,a drawing of a man sleeping in a bed
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-20.jpg,a storyboard of a car driving on a road,a drawing of a car driving down a road
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-21.jpg,a storyboard of a man in a car,a drawing of a man in a shirt
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-22.jpg,a storyboard of a man walking down a street,a drawing of a man walking down a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-23.jpg,a storyboard of a phone with the word'snule'on it,a person holding a phone with the word's on it
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-24.jpg,a storyboard of a man talking on a cell,a man talking on a cell phone
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-25.jpg,a storyboard of a man in a car,a drawing of a man sitting in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-26.jpg,a storyboard of a bus driving through a tunnel,a drawing of a bus driving down a road
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-27.jpg,a storyboard of a man with a mustache and a woman with a mustache,a drawing of a man with a mustache and a woman
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-28.jpg,a storyboard of a car driving down a street,a car driving down a street in the city
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-29.jpg,a storyboard of a car driver in a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-30.jpg,a storyboard of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-31.jpg,a storyboard of a man driving a car,a man driving a car with a dog in the passenger seat
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-32.jpg,a storyboard of a woman driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-33.jpg,a storyboard of a man driving a car,a man driving a car with a dog in the passenger seat
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-34.jpg,a storyboard of a car and a truck,a sketch of two cars in a parking
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-35.jpg,a storyboard of a car crash,a drawing of two cars on a road
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-36.jpg,a storyboard of a man with a mustache and a mustache,a drawing of a man with a mustache
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-37.jpg,a storyboard of a woman driving a car,a drawing of a person in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-38.jpg,a storyboard of a man with a hat and a sign,a drawing of a man in a hat
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-39.jpg,a storyboard of a man walking down a street,a sketch of a person walking down a street
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-40.jpg,a storyboard of a man standing in a dark room,a drawing of a person standing in a room
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-41.jpg,a storyboard of a man with a gun,a drawing of a man holding a gun
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-42.jpg,a storyboard of a man in a car,a drawing of a man in a car
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-43.jpg,a storyboard of a woman with a gun,a drawing of a man holding a knife
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-44.jpg,a storyboard of a swan,a drawing of a swan with a bird on its head
/root/text2storyboard/dataset/film_storyboard/SENTINELLE-VAN/SENTINELLE-VAN-45.jpg,a storyboard of a man screaming,a drawing of a man with a surprised expression
