Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-1.jpg,a drawing of a dog's face,a drawing of a dog's face
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-10.jpg,a drawing of a person falling off a cliff,a drawing of a person falling off a cliff
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-11.jpg,a drawing of a bear in the woods,a drawing of a bear in the woods
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-12.jpg,a drawing of a horse running through a forest,a drawing of a horse running through a forest
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-13.jpg,a drawing of a dog and a man in a field,a comic strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-14.jpg,a drawing of a forest with a train track,a drawing of a forest with a train track
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-15.jpg,a drawing of a cat on a train track,a cartoon drawing of a cat on a train track
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-16.jpg,a drawing of a cat sitting on a bench,a drawing of a cat sitting on a bench
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-17.jpg,a drawing of a bridge over a river,a drawing of a bridge over a river
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-18.jpg,a drawing of a dog with a black and white background,a drawing of a dog with a black and white background
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-18b.jpg,a drawing of a person walking on a sidewalk,a drawing of a person walking on a sidewalk
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-19.jpg,a drawing of a dog walking down a flight,a cartoon drawing of a dog walking down a flight
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-2.jpg,a drawing of a forest with trees and a sign,a drawing of a forest with trees and a sign
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-20.jpg,a drawing of a person walking on a bridge,a drawing of a person walking on a bridge
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-21.jpg,a drawing of two cats in a room,a drawing of two cats in a room
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-22.jpg,a drawing of a person walking down a bridge,a sketch of a car driving through a tunnel
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-23.jpg,a drawing of a dog looking out the window,a cartoon drawing of a dog looking out the window
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-24.jpg,a drawing of four dogs standing in a row,a drawing of four dogs standing in a row
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-25.jpg,a drawing of a cat sitting on the floor,a cartoon drawing of a cat sitting on the floor
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-26.jpg,a drawing of a dog with a large head,a drawing of a dog with a large head
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-27.jpg,a drawing of a cat sitting on a bridge,a black and white drawing of a cat on a bridge
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-3.jpg,a drawing of a wolf standing on a hill,a drawing of a wolf standing on a hill
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-4.jpg,a drawing of a dog with a black and white background,a drawing of a dog with a black and white background
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-5.jpg,a drawing of a wolf with a speech bubble,a drawing of a wolf with a speech bubble
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-6.jpg,a drawing of a forest with trees and a black and white background,a sketch of a forest with trees
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-6b.jpg,a drawing of a forest with trees and a path,a sketch of a forest with trees and a path
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-7b.jpg,a drawing of a mountain scene,a drawing of a mountain scene
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-8.jpg,a drawing of a cat running through the woods,a cat walking across a road with a sign
/root/text2storyboard/dataset/film_storyboard/KINAetYUK/KINAetYUK-SEQ66-9.jpg,a drawing of a tree with a arrow pointing up,a drawing of a tree with a arrow pointing up
