Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-01.jpg,a drawing of an astronaut and a woman,a drawing of an astronaut and a woman
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-02.jpg,a drawing of two people sitting in a car,a drawing of two people sitting in a car
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-03.jpg,a drawing of a man sitting at a desk with headphones on,a man sitting at a desk with headphones on
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-04.jpg,a drawing of a man and woman in a circle,a drawing of a man and woman in a circle
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-05.jpg,a drawing of a man in a car,a drawing of a man in a car
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-06.jpg,a drawing of a man in a suit and helmet,a drawing of a man in a suit and helmet
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-07.jpg,a drawing of a gun and a gun,a drawing of a gun and a gun
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-08.jpg,a drawing of a man with a helmet and goggles,a drawing of a man with a helmet and goggles
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-09.jpg,a drawing of a man with a cat,a drawing of a man with a cat
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-10.jpg,a drawing of a man in a suit,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-11.jpg,a drawing of a man with headphones,a drawing of a man with headphones
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-12.jpg,a drawing of a man in a spacesuit,a sketch of a man in a spacesuit
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-13.jpg,a drawing of a camera and a film strip,a drawing of a camera and a film strip
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-14.jpg,a drawing of a man in a wheelchair,a drawing of a man in a wheelchair
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-15.jpg,a drawing of a woman's face with a hoodie,a drawing of a woman's face with a hoodie
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-16.jpg,a drawing of a man in a suit,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/PROXIMA-BOARD/PROXIMA-BOARD-17.jpg,a drawing of a man falling off a cliff,a drawing of a man falling off a cliff
