Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-01.jpg,a storyboard of a house on the beach,a sketch of a house on the beach
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-02.jpg,a storyboard of a beach resort,a man is walking on the beach with a surfboard
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-03.jpg,a storyboard of a woman walking down the beach,a woman walking down the beach with a palm tree in the background
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-04.jpg,a storyboard of a woman in a dress,a sketch of a woman in a dress
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-05.jpg,a storyboard of a woman in a jungle,a cartoon drawing of a woman in a jungle
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-06.jpg,a storyboard of a woman in a jungle,a drawing of a woman in a jungle
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-07.jpg,a storyboard of a man in a park,a drawing of a man in a park
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-08.jpg,a storyboard of a man riding a horse,a drawing of a bird flying over a body of water
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-09.jpg,a storyboard of a man falling off a cliff,a drawing of a waterfall with a man in the middle
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-10.jpg,a storyboard of a man with a bottle of water,a drawing of a man holding a bottle
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-11.jpg,a storyboard of a woman and a man in the rain,a cartoon of two women playing with a bottle
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-12.jpg,a storyboard of a woman blowing her hair,a drawing of a woman blowing her hair
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-13.jpg,a storyboard of a man and a woman in the woods,a cartoon depicting two people jumping in the air
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-14.jpg,a storyboard of a girl and a man in the woods,a cartoon strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-15.jpg,a storyboard of a woman with long hair and a black and white background,a drawing of a woman with long hair
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-16.jpg,a storyboard of a bottle of water,a cartoon drawing of a bottle of water
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-17.jpg,a storyboard of a woman walking through a jungle,a woman walking through a jungle with a blue bag
/root/text2storyboard/dataset/commercial_storyboard/CENOTE/CENOTE-STORYBOARD-18.jpg,a storyboard of a bottle of gin,a bottle of vodka sitting on top of a tv
