Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0002.jpg,a storyboard of a man walking in a forest,a drawing of a person walking in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0003.jpg,a storyboard of a man walking in a forest,a drawing of a person walking through a forest
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0004.jpg,a storyboard of a man riding a bike in the woods,a drawing of a man riding a bike in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0005.jpg,a storyboard of a man with a bicycle,a drawing of a bicycle in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0006.jpg,a storyboard of a man looking through a telescope,a man is looking through a telescope
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0007.jpg,a storyboard of a man in a forest,a sketch of a person in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0008.jpg,a storyboard of a man in a hat and a woman in a dress,a drawing of a person walking down a street
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0009.jpg,a storyboard of a man riding a bike,a man riding a bike in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0010.jpg,a storyboard of a man in a park,a cartoon drawing of a man in a park
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0011.jpg,a storyboard of a man riding a bike through a forest,a drawing of a man riding a bike
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0012.jpg,a storyboard of a man in a park,a sketch of a man with a beard and a beard
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0013.jpg,a storyboard of a cyclist and a cyclist,a cartoon drawing of two people in the woods
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0014.jpg,a storyboard of a man walking in the woods,a sketch of a person walking down a street
/root/text2storyboard/dataset/commercial_storyboard/QWANT/QWANT-BOARD_0015.jpg,a storyboard of a man walking through a tunnel,a sketch of a man walking down a street
