Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-01.jpg,a drawing of three men in a forest,a drawing of three men in a forest
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-02.jpg,a drawing of a man in a forest,a drawing of a man in a forest
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-03.jpg,a drawing of a woman and a man in the woods,a drawing of a woman and a man in the woods
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-04.jpg,a drawing of a woman in a forest,a drawing of a woman in a forest
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-05.jpg,a drawing of a man climbing up a mountain,a drawing of a man climbing up a mountain
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-06.jpg,a drawing of a woman in a dress,a drawing of a woman in a dress
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-07.jpg,a drawing of a man with a beard,a drawing of a man with a beard
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-08.jpg,a drawing of a man and woman kissing,a drawing of a man and woman kissing
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-09.jpg,a drawing of a woman's hand holding a flower,a drawing of a woman's hand holding a flower
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-10.jpg,a drawing of a man with a goat,a drawing of a man with a goat
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-11.jpg,a drawing of a man in the woods,a drawing of a man in the woods
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-12.jpg,a drawing of a woman in a hat,a drawing of a woman in a hat
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-13.jpg,a drawing of a man with a beard,a drawing of a man with a beard
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-14.jpg,a drawing of a tree with leaves and branches,a drawing of a tree with leaves and branches
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-15.jpg,a drawing of a man laying on a couch,a drawing of a man laying on a couch
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-16.jpg,a drawing of a man in a room,a drawing of a man in a room
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-17.jpg,a drawing of a person in a room,a black and white drawing of a person in a room
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-18.jpg,a drawing of a man in a suit,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-19.jpg,a drawing of a woman in a car,a cartoon drawing of a woman in a car
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-20.jpg,a drawing of a man with a sign in his hand,a drawing of a man with a sign in his hand
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-21.jpg,a drawing of a woman in a chair,a drawing of a woman in a chair
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-22.jpg,a drawing of a man driving a car,a man driving a car with a steering
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-23.jpg,a drawing of a man in a suit and tie,a drawing of a man in a suit and tie
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-24.jpg,a drawing of a person's hand,a drawing of a person's hand
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-25.jpg,a drawing of a man with a beard,a drawing of a man with a beard
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-26.jpg,a drawing of a man with a camera,a drawing of a man with a camera
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-27.jpg,a drawing of a woman with a book,a drawing of a woman with a book
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-28-1.jpg,a drawing of a man holding a knife,a drawing of a man holding a knife
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-29.jpg,a drawing of a woman with her eyes closed,a drawing of a woman with her eyes closed
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-30.jpg,a drawing of a man with his hands up,a drawing of a man with his hands up
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-31.jpg,a drawing of a bull with a horseshoe,a drawing of a bull with a horseshoe
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-32.jpg,a drawing of a man and woman talking,a sketch of a man and woman talking
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-33.jpg,a drawing of a man with a pipe,a drawing of a man with a pipe
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-34.jpg,a drawing of a woman in a room,a drawing of a woman in a room
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-35.jpg,a drawing of a group of people,a drawing of a group of people
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-36.jpg,a drawing of a man in a suit,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-39.jpg,a drawing of a tree with a bunch of leaves,a drawing of a tree with a bunch of leaves
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-40.jpg,a drawing of a gun and a bullet,a drawing of a gun and a bullet
/root/text2storyboard/dataset/film_storyboard/J-MimounBoard/J-MimounBoard-41.jpg,a drawing of a man in a suit,a drawing of a man in a suit
