Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-01.jpg,a drawing of a building with a window and a tree,a drawing of a building with a window and a tree
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-02.jpg,a drawing of a person walking down a street,a drawing of a person walking down a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-03.jpg,a drawing of a street with a car driving by,a drawing of a street with a car driving by
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-04.jpg,a drawing of a man in a hat,a sketch of a man in a hat
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-05.jpg,a drawing of a room with a window and a plant,a drawing of a room with a window and a plant
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-06.jpg,"a drawing of a bridge with a sign that says,'i'm '","a sketch of a bridge with a sign that says,'i'm '"
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-07.jpg,a drawing of a man with a helmet on,a sketch of a man with a helmet on
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-08.jpg,a drawing of a tree with two branches,a drawing of a tree with two branches
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-09.jpg,a drawing of a person looking at a deer,a drawing of a person looking at a deer
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-10.jpg,a drawing of a car driving down a street,a drawing of a car driving down a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-11.jpg,a drawing of a man in a hat,a drawing of a man in a hat
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-12.jpg,a drawing of a person walking on a street,a drawing of a person walking on a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-13.jpg,a drawing of a person riding a bike,a drawing of a person riding a bike
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-14.jpg,a drawing of a man walking down a street,a drawing of a man walking down a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-15.jpg,a drawing of a car driving down a road,a cartoon drawing of a car driving down a road
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-16.jpg,a drawing of a man walking down the street,a drawing of a man walking down the street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-17.jpg,a drawing of a person riding a bike,a man riding a bike down a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-18.jpg,a drawing of a man with a helmet on,a drawing of a man with a helmet on
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-19.jpg,a drawing of two people in a car,a drawing of two people in a car
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-20.jpg,a drawing of a man walking down a street,a drawing of a man walking down a street
/root/text2storyboard/dataset/film_storyboard/HORS-NORMES/HORS-NORMES-21.jpg,a drawing of two vans on a road,a drawing of two vans on a road
