Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-01.jpg,a drawing of a person holding a sign,a drawing of a person holding a sign
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-02.jpg,a drawing of a helicopter flying through the air,a drawing of a helicopter flying through the air
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-03.jpg,a drawing of a man sitting in a train,a sketch of a man sitting in a train
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-04.jpg,a drawing of two men in a plane,"two men in a plane, one is talking to the other"
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-05.jpg,a drawing of a man with headphones,a sketch of a man with headphones
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-06.jpg,a drawing of a man in a headset,a sketch of a man in a headset
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-07.jpg,a drawing of a man with headphones,a sketch of a man with headphones
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-08.jpg,a drawing of a window with a small window opening,sketch of a window with a small window opening
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-09.jpg,a drawing of a window with a paper stuck to it,a drawing of a window with a paper stuck to it
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-10.jpg,a drawing of two people in a car,a drawing of two people in a car
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-11.jpg,a drawing of a man in a train,a drawing of a man in a train
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-12.jpg,a drawing of a plane with a propeller,a drawing of a plane with a propeller
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-13.jpg,a drawing of a man flying a helicopter,a drawing of a man flying a helicopter
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-14.jpg,a drawing of a car with a steering and a steering wheel,a drawing of a car with a steering and a steering wheel
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-15.jpg,a drawing of a man talking to another man,a drawing of a man talking to another man
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-16.jpg,a drawing of a person sitting on a bench,a drawing of a person sitting on a bench
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-17.jpg,a drawing of a man sitting on a bench,a drawing of a man sitting on a bench
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-18.jpg,a drawing of a man looking at a woman in a room,a man is looking at a woman in a room
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-19.jpg,a drawing of a plane flying over a train,a drawing of a plane flying over a train
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-20.jpg,a drawing of two men sitting in a bus,a drawing of two men sitting in a bus
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-21.jpg,a drawing of two men in a room,a drawing of two men in a room
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-22.jpg,a drawing of a clock in the rain,a drawing of a clock in the rain
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-23.jpg,a drawing of two men talking in a train,a drawing of two men talking in a train
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-24.jpg,a drawing of a person walking down a street,a drawing of a person walking down a street
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-25.jpg,a drawing of a man falling off a ledge,a drawing of a man falling off a ledge
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-26.jpg,a drawing of a man sitting on a ledge,a drawing of a man sitting on a ledge
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-27.jpg,a drawing of a car with a steering,a drawing of a car with a steering
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-28.jpg,a drawing of a man in a suit,a sketch of a man in a suit
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-29.jpg,a drawing of two men talking in a bar,a drawing of two men talking in a bar
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-30.jpg,a drawing of a man in a suit and hat,a drawing of a man in a suit and hat
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-31.jpg,a drawing of a violin and a ball,a drawing of a violin and a ball
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-32.jpg,a drawing of a car with a steering,a drawing of a car with a steering
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-33.jpg,a drawing of a boat with a man in it,a drawing of a boat with a man in it
/root/text2storyboard/dataset/film_storyboard/CHANTDULOUP/CHANTDULOUP-board-34.jpg,a drawing of a shark in the water,a drawing of a shark in the water
