Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-01.jpg,a storyboard of the human brain,a diagram of the brain showing the location of the brain
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-02.jpg,a storyboard of a tree with a bird on it,a drawing of a tree with a bird on it
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-03.jpg,a storyboard of a car driving through a tunnel,a cartoon of a car driving through a tunnel
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-04.jpg,a storyboard of a computer chip,a computer processor with a purple and black color
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-05.jpg,a storyboard of a computer chip,a computer processor with a purple light on it
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-06.jpg,a storyboard of a futuristic city with a pink light,a cartoon of a building with a purple light
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-07.jpg,a storyboard of a small town with a small building,a comic strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-08.jpg,a storyboard of a gun with a pink light on it,a comic page with a gun and a gun
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-09.jpg,a storyboard of a laptop,a laptop with a keyboard and mouse
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-10.jpg,a storyboard of a man with a knife and a knife,a comic strip with a drawing of a man in a suit
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-11.jpg,a storyboard of the three stages of the process,a diagram showing the different parts of a door
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-12.jpg,a storyboard of a box with a box inside,a drawing of a box with a box inside
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-13.jpg,a storyboard of a room with a desk and a computer,a drawing of a room with a computer and a computer
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-14.jpg,a storyboard of a city with a staircase,a black and white image of a building
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-15.jpg,a storyboard of a building with a lot of windows,a drawing of a building with a lot of windows
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-16.jpg,a storyboard of a person holding a door,a drawing of a hand reaching into a door
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-17.jpg,a storyboard of a man walking through a city,a drawing of a person walking down a street
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-18.jpg,a storyboard of a woman in a server room,"a woman in a server room with a sign that says,'i'm '"
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-19.jpg,a storyboard of a woman's face,a drawing of a woman's face with a triangle in the middle
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-20.jpg,a storyboard of a woman's eye,a drawing of an eye with a black and white background
/root/text2storyboard/dataset/commercial_storyboard/AMD/AMD-board-21.jpg,a storyboard of the word'ad instinct ',the word ad instinct on a blackboard with a white arrow pointing up
