Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-01.jpg,a storyboard of the iron man,a rocket is flying through the space
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-02.jpg,a storyboard of a rocket launching in space,a pair of rockets flying through the sky
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-03.jpg,a storyboard of the space mission,a satellite satellite is shown in the sky
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-04.jpg,a storyboard of a box of chocolates,a box with a pair of shoes on it
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-05.jpg,a storyboard of the bible,a box with a gold coin inside
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-06.jpg,a storyboard of the future,a cartoon of a robot with a red nose
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-07.jpg,a storyboard of the deep space mission,an artist's rendering of the spacecraft
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-08.jpg,a storyboard of the future perfume,a bottle of perfume on a saturn surface
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-09.jpg,a storyboard of a rocket launching,a rocket is flying through the sky
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-10.jpg,a storyboard of the universe,a space station with a satellite satellite in the background
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-11.jpg,a storyboard of the perfume industry,a bottle of perfume with a rocket flying in the sky
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-12.jpg,a storyboard of the universe,a pair of gold rings with a star in the background
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-13.jpg,a storyboard of the universe,a bottle of liquid with a liquid pouring out of it
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-14.jpg,a storyboard of a man in a space suit and a spaceship,a man in a suit and tie standing in front of a window
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-15.jpg,a storyboard of the universe,a black and yellow star burst with a white background
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-16.jpg,a storyboard of the eye of god,a black hole with a yellow light coming out
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-17.jpg,a storyboard of the year,the logo for the new disney movie
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-18.jpg,a storyboard of the golden trophy,a bottle of champagne with a gold top
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-19.jpg,a storyboard of the universe,a rocket is flying through the air
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-20.jpg,a storyboard of the golden spoon,a gold bottle with a light coming out of it
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-21.jpg,a storyboard of the night sky,a picture of a night sky with a few stars
/root/text2storyboard/dataset/commercial_storyboard/DIOR/DIOR-22.jpg,a storyboard of the word di,dior - the new collection
