Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-01.jpg,a drawing of a woman walking down a street,a drawing of a woman walking down a street
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-02.jpg,a drawing of a person riding a bike,a man riding a bike down a street
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-03.jpg,a drawing of a man with a microphone,a drawing of a man with a microphone
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-04.jpg,a drawing of a train station with a person walking by,a sketch of a train station with a person walking by
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-05.jpg,a drawing of a woman in a suit,a drawing of a woman in a suit
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-06.jpg,a drawing of a man in a coat walking down a train track,a drawing of a man in a coat walking down a train track
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-07.jpg,a drawing of a house with a car parked in the driveway,a drawing of a house with a car parked in the driveway
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-08.jpg,a drawing of a person walking down a ramp,a cartoon drawing of a man running down a ramp
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-09.jpg,a drawing of a gun in a car,a drawing of a gun in a car
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-10.jpg,a drawing of a man in a suit and tie,a drawing of a man in a suit and tie
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-11.jpg,a drawing of a person walking down a road,a drawing of a person walking down a road
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-12.jpg,a drawing of a man and woman walking down a street,a drawing of a man and woman walking down a street
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-13.jpg,a drawing of a man hugging a woman,a man and woman hug in the middle of a field
/root/text2storyboard/dataset/film_storyboard/AGATHA-CHRISTIE/AGATHA-CHRISTIE-SEQ16-14.jpg,a drawing of a man and woman looking at each other people,a man and woman looking at each other people
