Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-01.jpg,a drawing of a truck on a road,a drawing of a truck on a road
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-02.jpg,a drawing of a car in a garage,a sketch of a car in a garage
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-03.jpg,a drawing of a man and woman in a car,a drawing of a man and woman in a car
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-04.jpg,a drawing of a television screen with a picture of a man on it,a drawing of a television screen with a picture of a man on it
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-05.jpg,a drawing of a car driving down a road,a drawing of a car driving down a road
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-06.jpg,a drawing of a jeep with a man in the back,a drawing of a jeep with a man in the back
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-07.jpg,a drawing of a man and woman in a car,a drawing of a man and woman in a car
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-08.jpg,a drawing of a woman with a helmet on,a drawing of a woman with a helmet on
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-09.jpg,a drawing of a man standing next to a truck,a drawing of a man standing next to a truck
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-10.jpg,a drawing of a man and woman in a room,a drawing of a man and woman in a room
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-11.jpg,a drawing of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-12.jpg,a drawing of two men with guns,two men in gas masks with guns
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-13.jpg,a drawing of a man with glasses and a gun,a drawing of a man with glasses and a gun
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-14.jpg,a drawing of a person with a gun,a drawing of a person with a gun
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-15.jpg,a drawing of two men standing on a hill,a drawing of two men standing on a hill
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-16.jpg,a drawing of a window with a view of a city,a drawing of a window with a view of a city
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-18.jpg,a drawing of a soldier with a gun,a drawing of a soldier with a gun
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-19.jpg,a drawing of a man in a car,a man in a car with a camera
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-20.jpg,a drawing of a band playing in a room,a drawing of a band playing in a room
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-21.jpg,a drawing of a man with a hat and a hat on,a drawing of a man with a hat and a hat on
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-22.jpg,a drawing of a man in a suit,a drawing of a man in a suit
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-23.jpg,a drawing of a man with a white arrow,a drawing of a man with a white arrow
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-24.jpg,a drawing of a man with a gun,a drawing of a man with a gun
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-25.jpg,a drawing of a man falling off a cliff,a drawing of a man falling off a cliff
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-26.jpg,a drawing of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-27.jpg,a drawing of a man in a gas mask,a drawing of a man in a gas mask
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-28.jpg,a drawing of a person standing on a beach,a drawing of a person standing on a beach
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-29.jpg,a drawing of a man holding a knife,a drawing of a man holding a knife
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-30.jpg,a drawing of a man in a gas mask,a drawing of a man in a gas mask
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-31.jpg,a drawing of a man walking through a tunnel,a drawing of a man walking through a tunnel
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-32.jpg,a drawing of a man with a gun,a drawing of a man with a gun
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-33.jpg,a drawing of a person sitting in a chair,a drawing of a person sitting in a chair
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-34.jpg,a drawing of a man sitting on a bench,a drawing of a man sitting on a bench
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-35.jpg,a drawing of a man in a car,a drawing of a man in a car
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-36.jpg,a drawing of a truck with a sign above it,a drawing of a truck with a sign above it
/root/text2storyboard/dataset/film_storyboard/LBDL/LBDL-Storyboard-37.jpg,a drawing of a truck that is stuck in the middle of the road,a drawing of a truck that is stuck in the middle of the road
