Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer01.jpg,a storyboard of a woman in a cafe,a woman sitting at a table with a mirror
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer02.jpg,a storyboard of a horse's head,a drawing of a hand holding a bowl
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer03.jpg,a storyboard of a woman with a face drawn in pencil,a sketch of a woman with a long hair
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer04.jpg,a storyboard of a woman's profile,a drawing of a woman's face
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer05.jpg,a storyboard of a broken window,a drawing of a broken window
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer06.jpg,a storyboard of a woman with a face drawn in pencil,a drawing of a woman with her hand on her face
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer07.jpg,a storyboard of a person washing their hands,a drawing of a hand holding a brush and a bowl of food
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer08.jpg,a storyboard of a woman applying her makeup,a woman is drawing a picture of herself
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer09.jpg,"a storyboard of a hand holding a sign that says,'i love you '",a drawing of a hand holding a sign
/root/text2storyboard/dataset/commercial_storyboard/COLORNEER/colorneer10.jpg,a storyboard of a woman with a microphone,a drawing of a woman with a microphone
