Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-01.jpg,a storyboard of a forest with trees and clouds,a drawing of trees in the sky
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-02.jpg,a storyboard of a man cutting a tree,a man is cutting wood in the woods
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-03.jpg,a storyboard of a man with a knife and a knife,a comic strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip strip
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-04.jpg,a storyboard of a tree with a white background,a drawing of a tree with a white background
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-05.jpg,a storyboard of a man carrying a cross,a drawing of a man carrying a cross
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-06.jpg,a storyboard of a man with a gun,a man is drawing a picture of a man
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-07.jpg,a storyboard of a man with a bottle of alcohol,a man is holding a bottle of alcohol
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-08.jpg,a storyboard of a bottle of men's tonic,a cartoon depicting a bottle of men's toilet
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-09.jpg,a storyboard of a woman in a white dress and a man in a white suit,a drawing of a woman in a white dress
/root/text2storyboard/dataset/commercial_storyboard/MENNEN/MENNEN-BOARD-10.jpg,a storyboard of a house in the woods,a drawing of a house in the woods
