Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot01.jpg,a storyboard of a car with a man standing next to it,a car with a man standing next to it
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot02.jpg,a storyboard of a car with a man carrying a surfboard,a car with a surfboard on the roof
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot03.jpg,a storyboard of a car with a man in the back,a car with a person in the back
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot04.jpg,a storyboard of a car with a man in the back,a car with people in the back and a man in the back
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot05.jpg,a storyboard of a car,a car with two people in it
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot06.jpg,a storyboard of a car with a surfboard on the roof,a car with a surfboard on top
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot07.jpg,a storyboard of a car accident,a man is standing next to a car with a man in the back
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot08.jpg,a storyboard of a car with surfboards on the roof,a car with surfboards on the roof
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot09.jpg,a storyboard of a car,a cartoon car with a woman in the passenger seat
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot10.jpg,a storyboard of a wedding car,a car with a bride and groom in it
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot11.jpg,a storyboard of a woman in a car,a woman is standing in front of a car and talking to a man
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot12.jpg,a storyboard of a car with a man on top of the car,a car with a man on top of it
/root/text2storyboard/dataset/commercial_storyboard/PEUGEOT/peugeot13.jpg,a storyboard of a car in a parking,a car with people in it
