Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-1.jpg,a storyboard of a kitchen scene,a drawing of two women in a kitchen
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-10.jpg,a storyboard of a girl with a tooth,a drawing of a woman with a finger on her lips
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-11.jpg,a storyboard of a woman and a man sitting at a kitchen table,a drawing of two people sitting at a table
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-12.jpg,a storyboard of a hand holding a bowl of water,a drawing of a bowl with a spoon in it
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-13.jpg,a storyboard of a family having a meal together,a cartoon drawing of two people sitting at a table
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-14.jpg,a storyboard of a tin of chocolate,a drawing of a bowl of food and a can of food
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-2.jpg,a storyboard of a person holding a cup of coffee,a drawing of a person holding a cup
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-3.jpg,a storyboard of a bowl of cereal,a bowl of cereal with a spoon and spoon
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-4.jpg,a storyboard of a family cooking together,a woman and two children are cooking in the kitchen
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-5.jpg,a storyboard of a man with a spoon in his mouth,a drawing of a man with a spoon in his hand
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-6.jpg,a storyboard of a family cooking together,a drawing of a family eating dinner
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-7.jpg,a storyboard of a person writing a letter,a drawing of a person using a computer
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-8.jpg,a storyboard of a woman and her child in the kitchen,a cartoon drawing of two people in a kitchen
/root/text2storyboard/dataset/commercial_storyboard/BONDUELLE/BONDUELLE-9.jpg,a storyboard of a child's brain,a drawing of a bowl of flowers
