Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-01.jpg,a storyboard of a girl in a red dress,a woman in a red dress is floating in the air
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-02.jpg,a storyboard of a woman in a red dress walking through a field of poppies,a woman in a red dress walking through a field of flowers
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-03.jpg,a storyboard of a woman in a red dress,a drawing of a woman in a red dress
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-04.jpg,a storyboard of a girl falling from a red carpet,a woman in a red dress is floating in the water
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-05.jpg,a storyboard of a woman in a red dress,a drawing of a woman in red dress
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-06.jpg,a storyboard of a woman lying on the ground,a drawing of a woman laying on the ground
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-07.jpg,a storyboard of a woman in a red dress,a woman in a red dress is running through a field of hearts
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-08.jpg,a storyboard of a woman's face,a woman with a red ribbon in her hair
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-09.jpg,a storyboard of a hand reaching a poppy,a drawing of a hand reaching a poppy
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-10.jpg,a storyboard of poppies,a red poppy field with raindrops
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-11.jpg,a storyboard of red poppies,a red poppy flower in a black and white background
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-12.jpg,a storyboard of a red flower,a drawing of a red flower with a white arrow pointing up
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-13.jpg,a storyboard of poppies,a drawing of red poppies in the rain
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-14.jpg,"a storyboard of a woman in a red dress and a man in a white shirt, surrounded",a drawing of a woman sitting on a bench surrounded by red flowers
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-15.jpg,a storyboard of a man holding a poppy flower,a man holding a flower in front of a bridge
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-16.jpg,a storyboard of a girl with a flower,a drawing of a boy holding a flower
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-17.jpg,a storyboard of a woman in a red dress,a woman in a red dress looking at a red flower
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-18.jpg,a storyboard of a woman in a red dress,a woman in an orange dress is standing in front of a wall
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-19.jpg,a storyboard of a woman's face,a woman with long black hair and red lipstick
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-20.jpg,a storyboard of a man riding a bike through a poppy field,a man riding a bike through a field of pop flowers
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-21.jpg,a storyboard of love and romance,a couple in a field of poppies
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-22.jpg,a storyboard of a woman who is falling from a sky full of red hearts,a drawing of a woman sitting on a ledge with red petals floating around her
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-23.jpg,a storyboard of a city with red paint spied on it,a drawing of a bridge with red paint spied on it
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-24.jpg,a storyboard of a woman in a red dress holding a rose,a woman in a red dress holding a rose
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-25.jpg,a storyboard of a woman in a red dress standing on a platform surrounded by red flowers,a woman in a red dress stands on a ledge surrounded by red flowers
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-26.jpg,a storyboard of a woman in a poppy field,a drawing of a woman in a field of pop flowers
/root/text2storyboard/dataset/commercial_storyboard/FLOWER/FLOWERbyKENZO-27.jpg,a storyboard of love and romance,a drawing of a city with a red flower
